District Name,Police Unit,Village Area Name,Beat Name,Total Crimes per beat,Sanctioned Strength of Assistant Sub-Inspectors per District,Sanctioned Strength of Head Constables per District,Sanctioned Strength of Police Constables per District,Normalised Crime Severity
"COP, BELGAUM CITY",Marihal PS,Sangli,1 MARIHAL,245.0,114,320,699,0.005290031740190441
"COP, BELGAUM CITY",Marihal PS,CHANDUR,2 MARIHAL,91.0,114,320,699,0.0034040204241225446
"COP, BELGAUM CITY",Marihal PS,NILAJI VILLAGE,6 BALEKUNDRI B K,204.0,114,320,699,0.004600027600165601
"COP, BELGAUM CITY",Marihal PS,HARNAKOLLA,4 KARADIGUDDI,59.0,114,320,699,0.0016100096600579602
"COP, BELGAUM CITY",Marihal PS,KARAVI,5 MODAGA,56.0,114,320,699,0.0023460140760844564
"COP, BELGAUM CITY",Marihal PS,BASARIKATTI,48 BASARIKATTI,17.0,114,320,699,0.0015640093840563044
"COP, BELGAUM CITY",Marihal PS,MASTAMARDI,50 MASTAMARADI,18.0,114,320,699,0.0011500069000414002
"COP, BELGAUM CITY",Marihal PS,MUTAGA,43 MUTAGA,104.0,114,320,699,0.004140024840149041
"COP, BELGAUM CITY",Marihal PS,TUMMARGUDDI,26 TUMMARAGUDDI,20.0,114,320,699,0.0014720088320529924
"COP, BELGAUM CITY",Marihal PS,MUCHANDI,21 MUCHANDI,52.0,114,320,699,0.0018860113160678964
"COP, BELGAUM CITY",Marihal PS,HUDLI,29 HUDALI,63.0,114,320,699,0.0018400110400662404
"COP, BELGAUM CITY",Marihal PS,SAMBRA,40 SAMBRA,76.0,114,320,699,0.0024840149040894245
"COP, BELGAUM CITY",Marihal PS,KHANAGAV B K,15 KHANAGAV B K,22.0,114,320,699,0.0013800082800496803
"COP, BELGAUM CITY",Marihal PS,KALAKAMB,20 KALAKAMBA,24.0,114,320,699,0.0016100096600579602
"COP, BELGAUM CITY",Marihal PS,ASHTE,23 ASHTE,25.0,114,320,699,0.0011960071760430562
"COP, BELGAUM CITY",Marihal PS,HUDLI,30 HUDALI,20.0,114,320,699,0.0017020102120612723
"COP, BELGAUM CITY",Marihal PS,HONNIHAL,8 HONNIHAL,31.0,114,320,699,0.0019780118680712082
"COP, BELGAUM CITY",Marihal PS,NILAJI,45 NILAJI,42.0,114,320,699,0.0019780118680712082
"COP, BELGAUM CITY",Marihal PS,BALEKUNDRI K H,9 BALEKUNDRI K H,27.0,114,320,699,0.0024380146280877685
"COP, BELGAUM CITY",Marihal PS,SULEBHAVI,13 SULEBHAVI,36.0,114,320,699,0.0021620129720778323
"COP, BELGAUM CITY",Marihal PS,HARANKOLLA,32 HARANAKOLLA,7.0,114,320,699,0.0008740052440314642
"COP, BELGAUM CITY",Marihal PS,SHINDHOLLI,47 SHINDHOLLI,2.0,114,320,699,0.00027600165600993605
"COP, BELGAUM CITY",Marihal PS,KALAKAMB,19 KALAKAMBA,23.0,114,320,699,0.0017480104880629283
"COP, BELGAUM CITY",Marihal PS,KHANAGAV K H,25 KHANAGAV K H,19.0,114,320,699,0.0023460140760844564
"COP, BELGAUM CITY",Marihal PS,SHINDHOLLI,46 SHINDHOLLI,31.0,114,320,699,0.0023920143520861125
"COP, BELGAUM CITY",Marihal PS,KABALAPUR,16 KABALAPUR CHANDUR,17.0,114,320,699,0.0015640093840563044
"COP, BELGAUM CITY",Marihal PS,SULEBHAVI,11 SULEBHAVI,19.0,114,320,699,0.0021160126960761763
"COP, BELGAUM CITY",Marihal PS,YADDALBHAVIHATTI,14 YADDALABHAVIHATTI,8.0,114,320,699,0.0006440038640231841
"COP, BELGAUM CITY",Marihal PS,CHANDAGAD,24 CHANDAGAD,18.0,114,320,699,0.0017020102120612723
"COP, BELGAUM CITY",Marihal PS,SAMBRA,41 SAMBRA,23.0,114,320,699,0.0019320115920695524
"COP, BELGAUM CITY",Marihal PS,HULYANUR,33 HULYANUR,15.0,114,320,699,0.0008740052440314642
"COP, BELGAUM CITY",Marihal PS,BALEKUNDRI K H,10 BALEKUNDRI K H,30.0,114,320,699,0.0018860113160678964
"COP, BELGAUM CITY",Marihal PS,MAVINAKATTI,49 MAVINAKATTI,7.0,114,320,699,0.0009200055200331202
"COP, BELGAUM CITY",Marihal PS,KABALAPUR,22 MUCHANDI,36.0,114,320,699,0.0019320115920695524
"COP, BELGAUM CITY",Marihal PS,RANGADOLLI,31 RAMAPUR RANGADOLLI,6.0,114,320,699,0.0006900041400248402
"COP, BELGAUM CITY",Marihal PS,SULEBHAVI,12 SULEBHAVI,8.0,114,320,699,0.0007820046920281522
"COP, BELGAUM CITY",Marihal PS,KARVINAKUMPI,36 KARAVINAKUMPI,1.0,114,320,699,0.00013800082800496802
"COP, BELGAUM CITY",Marihal PS,KARIKATTI,17 KARIKATTI,13.0,114,320,699,0.0009200055200331202
"COP, BELGAUM CITY",Marihal PS,KARAVI,35 KARANVI,1.0,114,320,699,9.200055200331202e-05
"COP, BELGAUM CITY",Marihal PS,BHARANATTI,38 BHARANATTI,3.0,114,320,699,0.0005980035880215281
"COP, BELGAUM CITY",Marihal PS,BUDRYANUR,34 BUDRYANUR,2.0,114,320,699,0.0003680022080132481
"COP, BELGAUM CITY",Marihal PS,SAMBRA,42 SAMBRA,7.0,114,320,699,0.0008740052440314642
"COP, BELGAUM CITY",Marihal PS,SIDDANAHALLI,18 SIDDANAHALLI,1.0,114,320,699,0.00023000138000828005
"COP, BELGAUM CITY",Marihal PS,GOKUL NAGAR MUTAGA,44 MUTAGA,6.0,114,320,699,0.0005520033120198721
"COP, BELGAUM CITY",Marihal PS,DHRANATTI,39 DHARANATTI MASTIHOLI MAVINA,5.0,114,320,699,0.0006900041400248402
"COP, BELGAUM CITY",Marihal PS,SOMANATTI,27 SOMANATTI,2.0,114,320,699,0.0003680022080132481
"COP, BELGAUM CITY",Marihal PS,BHIMAGAD,28 BHIMAGAD KEMPADINNI,2.0,114,320,699,0.0003680022080132481
"COP, BELGAUM CITY",Marihal PS,PANT NAGAR,7 PANTH NAGAR,5.0,114,320,699,0.00041400248401490407
"COP, BELGAUM CITY",Market PS,KRISHNADEVARAY CIRCLE,2,210.0,114,320,699,0.0049220295321771934
"COP, BELGAUM CITY",Market PS,CHURCH COMPOUND,3,243.0,114,320,699,0.004232025392152353
"COP, BELGAUM CITY",Market PS,KAPILESHWAR CROSS,6,67.0,114,320,699,0.0039560237361424165
"COP, BELGAUM CITY",Market PS,OLD BHAJI MARKET,4,123.0,114,320,699,0.004508027048162289
"COP, BELGAUM CITY",Market PS,FORT ROAD,5,33.0,114,320,699,0.0018860113160678964
"COP, BELGAUM CITY",Market PS,CENTRAL BUS STAND,18,159.0,114,320,699,0.0035420212521275127
"COP, BELGAUM CITY",Market PS,CHAVAT GALLI,28,43.0,114,320,699,0.003128018768112609
"COP, BELGAUM CITY",Market PS,MONAPPA PAN SHOP MAHALXMI TEMPLE BASHIBAN COMPOUND KHADE BAZAR ROAD BENDI BAZAR CROSS,42,29.0,114,320,699,0.0018860113160678964
"COP, BELGAUM CITY",Market PS,DC OFFICE DIST COURT HALL LIC OFFICE LOKHAYUKT OFF NOWKARAR BHAVAN MARATHA MANDAL ADHAR HOSPITAL,26,160.0,114,320,699,0.0036340218041308247
"COP, BELGAUM CITY",Market PS,MATH GALLI KALMATH ROAD,59,20.0,114,320,699,0.0013340080040480243
"COP, BELGAUM CITY",Market PS,MAHADWAR ROAD FOURTH CROSS,72,9.0,114,320,699,0.0006900041400248402
"COP, BELGAUM CITY",Market PS,NEW BAJI MARKET KHIMJIBAI PETROL PUMP,19,42.0,114,320,699,0.0016100096600579602
"COP, BELGAUM CITY",Market PS,KAPILESHWAR COLONEY GANESH TEMPLE CROSS MAHATMA GANDHI PARK,81,15.0,114,320,699,0.0016100096600579602
"COP, BELGAUM CITY",Market PS,RAVIWAR PETH KARNATKA CHOWK,57,19.0,114,320,699,0.0015640093840563044
"COP, BELGAUM CITY",Market PS,FULBAG GALLI FIRST CROSS USHA TAI GOGATE SCHOOL,63,10.0,114,320,699,0.0007820046920281522
"COP, BELGAUM CITY",Market PS,SHIVAJI NAGAR ONE AND TWO CROSS,13,23.0,114,320,699,0.0020240121440728643
"COP, BELGAUM CITY",Market PS,MAHADWAROAD FIRST AND SECOND CROSS,70,24.0,114,320,699,0.0019780118680712082
"COP, BELGAUM CITY",Market PS,KAPILESHWAR COLONEY GANESH TEMPLE CROSS OLD PB ROAD,80,14.0,114,320,699,0.0017480104880629283
"COP, BELGAUM CITY",Market PS,MARKET AREA KANDA MAMRKET NARGUNDKAR BAVI CHOWK RAVIWAR PETH KARNATAKA CHOWK,56,28.0,114,320,699,0.0017940107640645844
"COP, BELGAUM CITY",Market PS,RTO OFFICE KSRTC DEPO FOREST OFFICE MARKET PS CIRCUIT HOUSE ASHOKA CIRCLE,17,69.0,114,320,699,0.0036340218041308247
"COP, BELGAUM CITY",Market PS,SHIVANAND POLICE CHOWKI KHADE BAZAR ROAD SK ELECTRICAL BHOL SHANIWAR KHOOT,41,19.0,114,320,699,0.0018860113160678964
"COP, BELGAUM CITY",Market PS,TANAJI GALLI,67,8.0,114,320,699,0.0005980035880215281
"COP, BELGAUM CITY",Market PS,ANJUMAN EDGA ANJUMAN COLLEGE METHODIST CHURCH COMPOUND SHARMAN SCHOOL,25,13.0,114,320,699,0.0010580063480380882
"COP, BELGAUM CITY",Market PS,KHOTHWAL GALLI,35,27.0,114,320,699,0.0014260085560513364
"COP, BELGAUM CITY",Market PS,KHANJAR GALLI,37,85.0,114,320,699,0.0013800082800496803
"COP, BELGAUM CITY",Market PS,SHIVAJI NAGAR SEVEN CROSS PANJIBABA FORT LAKE,16,25.0,114,320,699,0.0019780118680712082
"COP, BELGAUM CITY",Market PS,VEERBHDR NAGAR SIX AND SEVEN CROSS,7,16.0,114,320,699,0.0017940107640645844
"COP, BELGAUM CITY",Market PS,KASAIGALLI MARGAI TEMPLE CORPORETION COMPLEX,44,33.0,114,320,699,0.0017020102120612723
"COP, BELGAUM CITY",Market PS,DR AMBEDKAR GARDEN H'NBLE JUSTICE QRATERS CHANNAMMA CIRCLE,24,16.0,114,320,699,0.0017480104880629283
"COP, BELGAUM CITY",Market PS,KAPILESHWAR CROSS,10,16.0,114,320,699,0.0015180091080546484
"COP, BELGAUM CITY",Market PS,UDYAMBHAG,8,11.0,114,320,699,0.0012880077280463683
"COP, BELGAUM CITY",Market PS,BHATKHANDE GALLI BAJI MARKET,49,10.0,114,320,699,0.0007820046920281522
"COP, BELGAUM CITY",Market PS,MENSIGALLI,50,7.0,114,320,699,0.0006900041400248402
"COP, BELGAUM CITY",Market PS,KAMAT GALLI,52,14.0,114,320,699,0.0012420074520447123
"COP, BELGAUM CITY",Market PS,KHADAK GALLI,32,4.0,114,320,699,0.0005980035880215281
"COP, BELGAUM CITY",Market PS,MARATHAMANDAL POLY SHIVA HOTEL JAWAN QTR SHIVALAY TEMPLE,1,87.0,114,320,699,0.0008280049680298081
"COP, BELGAUM CITY",Market PS,SHETTY GALLI,34,14.0,114,320,699,0.0008280049680298081
"COP, BELGAUM CITY",Market PS,BADKALGALLI INDHIRA COLONEY,31,11.0,114,320,699,0.0013800082800496803
"COP, BELGAUM CITY",Market PS,TAHASHILDAR GALLI SOMANATH MANDIR CONGRESS OFFICE,65,7.0,114,320,699,0.0006900041400248402
"COP, BELGAUM CITY",Market PS,RAMA MESTRI ADDA SAMBHAJI GROUND,68,3.0,114,320,699,0.0004600027600165601
"COP, BELGAUM CITY",Market PS,SAMARTH NAGAR ONE AND TWO AND THREE CROSS,78,11.0,114,320,699,0.0012880077280463683
"COP, BELGAUM CITY",Market PS,DESHPANDE PETROL PUMP CROSS FORT ROAD,60,17.0,114,320,699,0.0012420074520447123
"COP, BELGAUM CITY",Market PS,JALGAR GALLI,33,6.0,114,320,699,0.0010120060720364321
"COP, BELGAUM CITY",Market PS,MALLIKARJUN NAGAR THREE AND FOUR CROSS,76,2.0,114,320,699,0.0003680022080132481
"COP, BELGAUM CITY",Market PS,GOVT MARATHI SCHOOL DORGALLI RAJWADA ROAD,27,7.0,114,320,699,0.0013340080040480243
"COP, BELGAUM CITY",Market PS,TENGINKERi GALLI,45,9.0,114,320,699,0.0010580063480380882
"COP, BELGAUM CITY",Market PS,MAHADWAR ROAD FIVE CROSS OLD PB ROAD MANICBAG,73,10.0,114,320,699,0.0011040066240397442
"COP, BELGAUM CITY",Market PS,DARBAR GALLI,38,13.0,114,320,699,0.0015180091080546484
"COP, BELGAUM CITY",Market PS,KHOLLAPUR CIRCLE AYODYA NAGAR VIJAYA HOSPITAL PRABHA HOSPITAL SKY ZONE,22,43.0,114,320,699,0.0025760154560927366
"COP, BELGAUM CITY",Market PS,BHANDUR GALLI,66,6.0,114,320,699,0.0011500069000414002
"COP, BELGAUM CITY",Market PS,PANGULGALLI BHOVI GALLI,48,14.0,114,320,699,0.0011960071760430562
"COP, BELGAUM CITY",Market PS,KHATALGALLI KHATAL SHAVALI DARGA COMPOUND,53,3.0,114,320,699,0.0005980035880215281
"COP, BELGAUM CITY",Market PS,KILLA,20,19.0,114,320,699,0.0017020102120612723
"COP, BELGAUM CITY",Market PS,FULBAG GALLI SECOND CROSS,64,8.0,114,320,699,0.0008740052440314642
"COP, BELGAUM CITY",Market PS,BHARTESH EDUCATION SOCIETY ABHAYA PATIL RISE MILL RAILWAY TRACK,21,15.0,114,320,699,0.0015180091080546484
"COP, BELGAUM CITY",Market PS,BENDI BAZAR,46,4.0,114,320,699,0.0005980035880215281
"COP, BELGAUM CITY",Market PS,SAMBHAJI GALLI,69,3.0,114,320,699,0.0003680022080132481
"COP, BELGAUM CITY",Market PS,VEERBHDRNAGAR FOUR AND FIVE,9,5.0,114,320,699,0.0006440038640231841
"COP, BELGAUM CITY",Market PS,A K DESHPANDE GALLI PIMPALKATTA MOSQUE BACK SIDE BHOL USHATAI GOGATE SCHOOL,61,6.0,114,320,699,0.0004600027600165601
"COP, BELGAUM CITY",Market PS,PATIL GALLI,62,9.0,114,320,699,0.0008280049680298081
"COP, BELGAUM CITY",Market PS,KAKARGALLI CHAJJU GALLI,40,8.0,114,320,699,0.0009200055200331202
"COP, BELGAUM CITY",Market PS,SHIVAJI NAGAR THREE AND FOUR CROSS,14,20.0,114,320,699,0.0023460140760844564
"COP, BELGAUM CITY",Market PS,KALAIGAR GALLI,55,8.0,114,320,699,0.0011500069000414002
"COP, BELGAUM CITY",Market PS,SAMARTH NAGAR FOUR AND FIVE AND SIX CROSS,79,11.0,114,320,699,0.0011960071760430562
"COP, BELGAUM CITY",Market PS,DIST PANCHAYAT OFF AC OFFICE KOLI GALLI,29,9.0,114,320,699,0.00041400248401490407
"COP, BELGAUM CITY",Market PS,SHIVAJI NAGAR FIVE AND SIX CROSS,15,7.0,114,320,699,0.0011960071760430562
"COP, BELGAUM CITY",Market PS,JAIN BOARDING MANICBAG PETROL PUMP,75,9.0,114,320,699,0.0004600027600165601
"COP, BELGAUM CITY",Market PS,AZAD GALLI,54,7.0,114,320,699,0.0008740052440314642
"COP, BELGAUM CITY",Market PS,VEERBHDRNAGAR FIRST CROSS,12,3.0,114,320,699,0.0005980035880215281
"COP, BELGAUM CITY",Market PS,MALI GALLI,51,4.0,114,320,699,0.0003680022080132481
"COP, BELGAUM CITY",Market PS,BHAGWAN GALLI,39,4.0,114,320,699,0.0005060030360182161
"COP, BELGAUM CITY",Market PS,PIMPAL KATTA KALAIGAR GALLI CROSS KARNATAKA CHOWK MALI GALLI DELIP STORE,58,3.0,114,320,699,0.00041400248401490407
"COP, BELGAUM CITY",Market PS,GRAVE BLANK PLACE SP OFF BANGLOW HDFC BANK INCOME TEX DEPT POLICE GROUND,23,2.0,114,320,699,0.00023000138000828005
"COP, BELGAUM CITY",Market PS,GHEE GALLI,36,1.0,114,320,699,0.00023000138000828005
"COP, BELGAUM CITY",Market PS,MANICBAG PETROLPUMP BACK ENGINEERING NALA,77,4.0,114,320,699,0.0003680022080132481
"COP, BELGAUM CITY",Market PS,KASAI KADDA,47,4.0,114,320,699,0.0006900041400248402
"COP, BELGAUM CITY",Market PS,KUNCHIGANAL,other,1.0,114,320,699,0.00013800082800496802
"COP, BELGAUM CITY",Market PS,MALLIKARJUN NAGAR ONE AND TWO CROSS,74,2.0,114,320,699,0.00032200193201159207
"COP, BELGAUM CITY",Market PS,ASADKHAN AND FARUKIYA COLONEY,11,4.0,114,320,699,0.0005980035880215281
"COP, BELGAUM CITY",Market PS,MAHADWAROAD THIRD CROSS,71,2.0,114,320,699,0.00018400110400662405
"COP, BELGAUM CITY",Market PS,MOMINGALLI SHEETAL HOTEL URDU SCHOOL,43,1.0,114,320,699,0.00013800082800496802
"COP, BELGAUM CITY",Shahapura PS,SHAHAPUR,1,61.0,114,320,699,0.0023000138000828004
"COP, BELGAUM CITY",Shahapura PS,SHAHAPUR,3,238.0,114,320,699,0.004646027876167257
"COP, BELGAUM CITY",Shahapura PS,VADAGAON,5,286.0,114,320,699,0.004508027048162289
"COP, BELGAUM CITY",Shahapura PS,SHAHAPUR,2,225.0,114,320,699,0.004784028704172225
"COP, BELGAUM CITY",Shahapura PS,KHASABAG,6,50.0,114,320,699,0.0017940107640645844
"COP, BELGAUM CITY",Shahapura PS,SHAHAPUR,4,220.0,114,320,699,0.004738028428170569
"COP, BELGAUM CITY",Shahapura PS,SHAHAPUR,7,1.0,114,320,699,9.200055200331202e-05
"COP, BELGAUM CITY",Tilakwadi PS,Anagol,Beat 6,159.0,114,320,699,0.0032660195961175765
"COP, BELGAUM CITY",Tilakwadi PS,Tilakwadi,Beat 2,25.0,114,320,699,0.0029440176641059848
"COP, BELGAUM CITY",Tilakwadi PS,Hindwadi,Beat 4,45.0,114,320,699,0.0031740190441142645
"COP, BELGAUM CITY",Tilakwadi PS,RPD. cross,Beat 5,62.0,114,320,699,0.0033120198721192325
"COP, BELGAUM CITY",Tilakwadi PS,Savarkar road.,Beat 1,76.0,114,320,699,0.0032660195961175765
"COP, BELGAUM CITY",Tilakwadi PS,Tilakwadi,Beat 3,59.0,114,320,699,0.002990017940107641
"COP, BELGAUM CITY",Tilakwadi PS,Mandoli road,Beat 8,13.0,114,320,699,0.0011960071760430562
"COP, BELGAUM CITY",Tilakwadi PS,Savarkar road,Beat 7,16.0,114,320,699,0.0017940107640645844
"COP, BELGAUM CITY",Tilakwadi PS,SOCIETY MARG HINDWADI,Beat 28,7.0,114,320,699,0.0005980035880215281
"COP, BELGAUM CITY",Tilakwadi PS,SOMAWARPETH RPD CROSS KHANAPUR ROAD,Beat 16,59.0,114,320,699,0.0028980173881043288
"COP, BELGAUM CITY",Tilakwadi PS,Bhagya Nagar IV AND V TH CROSS,Beat 39,6.0,114,320,699,0.0005060030360182161
"COP, BELGAUM CITY",Tilakwadi PS,KONAWAL GALLI,Beat 68,4.0,114,320,699,0.0005060030360182161
"COP, BELGAUM CITY",Tilakwadi PS,KANAKDAS COLONY,Beat 66,4.0,114,320,699,0.0005520033120198721
"COP, BELGAUM CITY",Tilakwadi PS,JAI MAHARASTRA CHOUK BANDUR GALLI,Beat 58,6.0,114,320,699,0.0005060030360182161
"COP, BELGAUM CITY",Tilakwadi PS,Bhagya Nagar Xth Cross,Beat 42,3.0,114,320,699,0.0003680022080132481
"COP, BELGAUM CITY",Tilakwadi PS,Parijat Colony,Beat 45,9.0,114,320,699,0.0007360044160264962
"COP, BELGAUM CITY",Tilakwadi PS,ANGOL NAKA TO MARATHI SCHOOL CROSS,Beat 48,46.0,114,320,699,0.0019320115920695524
"COP, BELGAUM CITY",Tilakwadi PS,GANESH MARG ONE TO TWO,Beat 25,9.0,114,320,699,0.0012880077280463683
"COP, BELGAUM CITY",Tilakwadi PS,SAI MANDIR CORPORATION QTRS,Beat 20,17.0,114,320,699,0.0013800082800496803
"COP, BELGAUM CITY",Tilakwadi PS,RANADE ROAD HOSAMANI CHAL PAWAR CHAL RAGHAVENDRAMATH,Beat 13,5.0,114,320,699,0.0007360044160264962
"COP, BELGAUM CITY",Tilakwadi PS,JAIN BASADI ROAD,Beat 34,1.0,114,320,699,0.00023000138000828005
"COP, BELGAUM CITY",Tilakwadi PS,WADDAR GALLI,Beat 49,5.0,114,320,699,0.0008280049680298081
"COP, BELGAUM CITY",Tilakwadi PS,Chougalewadi Kaivalya Nagar,Beat 10,8.0,114,320,699,0.0010120060720364321
"COP, BELGAUM CITY",Tilakwadi PS,INDRAPRASTA NAGAR,Beat 22,14.0,114,320,699,0.0012880077280463683
"COP, BELGAUM CITY",Tilakwadi PS,BABALE GALLI,Beat 55,12.0,114,320,699,0.0011500069000414002
"COP, BELGAUM CITY",Tilakwadi PS,RAGHUNATH PETH,Beat 52,27.0,114,320,699,0.0024840149040894245
"COP, BELGAUM CITY",Tilakwadi PS,SAHYDRI COLONY,Beat 44,5.0,114,320,699,0.0008280049680298081
"COP, BELGAUM CITY",Tilakwadi PS,BUDA COLONY BIG BAZAR KHANAPUR ROAD,Beat 19,17.0,114,320,699,0.0015640093840563044
"COP, BELGAUM CITY",Tilakwadi PS,SARAF COLONY,Beat 23,8.0,114,320,699,0.0010120060720364321
"COP, BELGAUM CITY",Tilakwadi PS,RPD COLLEGE,Beat 35,18.0,114,320,699,0.0013800082800496803
"COP, BELGAUM CITY",Tilakwadi PS,GURUDWAR,Baet 21,10.0,114,320,699,0.0013800082800496803
"COP, BELGAUM CITY",Tilakwadi PS,BHAGYA NAGAR VI AND VII CROSS,Beat 40,1.0,114,320,699,0.00013800082800496802
"COP, BELGAUM CITY",Tilakwadi PS,ANANDAWADI,Beat 29,12.0,114,320,699,0.0009660057960347762
"COP, BELGAUM CITY",Tilakwadi PS,MANGALWARPETH GAVALI GALLI,Beat 17,19.0,114,320,699,0.0014260085560513364
"COP, BELGAUM CITY",Tilakwadi PS,Maharsi road Neharu road Marathi School,Beat 12,6.0,114,320,699,0.0006900041400248402
"COP, BELGAUM CITY",Tilakwadi PS,BUDHAWARPETH GURUWAR PETH,Beat 18,14.0,114,320,699,0.0019780118680712082
"COP, BELGAUM CITY",Tilakwadi PS,RPD COLLEGE ROAD,Beat 30,10.0,114,320,699,0.0011500069000414002
"COP, BELGAUM CITY",Tilakwadi PS,Bhagy Nagar One cross to Seven cross,Beat 36,40.0,114,320,699,0.003036018216109297
"COP, BELGAUM CITY",Tilakwadi PS,CONGRESS ROAD CHATRAPATI SHIVAJI ROAD HINDU NAGAR,Beat 14,17.0,114,320,699,0.0013340080040480243
"COP, BELGAUM CITY",Tilakwadi PS,Rayroad Lile Ground Agarkar road Post office Vaccion depo,Beat 11,24.0,114,320,699,0.0020700124200745203
"COP, BELGAUM CITY",Tilakwadi PS,Adarsh Nagar Four to Sevan Cross,Beat 32,6.0,114,320,699,0.0006900041400248402
"COP, BELGAUM CITY",Tilakwadi PS,Ayodhya Nagar Godsewadi,Beat 9,14.0,114,320,699,0.0012420074520447123
"COP, BELGAUM CITY",Tilakwadi PS,Bhagya Nagar VIII TO IX th Cross,Beat 41,7.0,114,320,699,0.0008280049680298081
"COP, BELGAUM CITY",Tilakwadi PS,AMBEDKAR GALLI,Beat 67,18.0,114,320,699,0.0023920143520861125
"COP, BELGAUM CITY",Tilakwadi PS,MUSLIM GALLI,Beat 54,9.0,114,320,699,0.0011500069000414002
"COP, BELGAUM CITY",Tilakwadi PS,RAJHUNS GALLI,Beat 51,26.0,114,320,699,0.0011960071760430562
"COP, BELGAUM CITY",Tilakwadi PS,GULMOHAR COLONY,Beat 46,9.0,114,320,699,0.0011500069000414002
"COP, BELGAUM CITY",Tilakwadi PS,KURABAR GALLI,Beat 50,10.0,114,320,699,0.0010580063480380882
"COP, BELGAUM CITY",Tilakwadi PS,BHAGYA NAGAR IST CROSS HAJJUGERI GALLI,Beat 37,11.0,114,320,699,0.0011500069000414002
"COP, BELGAUM CITY",Tilakwadi PS,SUBHAS GALLI,Beat 59,7.0,114,320,699,0.00041400248401490407
"COP, BELGAUM CITY",Tilakwadi PS,HANAMANNAVAR GALLI,Beat 62,9.0,114,320,699,0.0013340080040480243
"COP, BELGAUM CITY",Tilakwadi PS,MARUTI GALLI,Beat 63,10.0,114,320,699,0.0010120060720364321
"COP, BELGAUM CITY",Tilakwadi PS,R K MARG ONE TO FOUR,Beat 26,11.0,114,320,699,0.0010580063480380882
"COP, BELGAUM CITY",Tilakwadi PS,REHAMAT NAGAR SHIVASHAKTI NAGAR,Beat 53,5.0,114,320,699,0.0005520033120198721
"COP, BELGAUM CITY",Tilakwadi PS,SANTAMEERA SCHOOL SANTAMEERA COLONY,Beat 43,10.0,114,320,699,0.0015180091080546484
"COP, BELGAUM CITY",Tilakwadi PS,HINDAWADI,Beat 24,24.0,114,320,699,0.0021160126960761763
"COP, BELGAUM CITY",Tilakwadi PS,Bhagya Nagar II AND III RD CROSS,Beat 38,4.0,114,320,699,0.00032200193201159207
"COP, BELGAUM CITY",Tilakwadi PS,RAVINDRANATH TAGORE RANA PRATAP CHATRAPATI SHIVAJI ROAD,Beat 15,3.0,114,320,699,0.0004600027600165601
"COP, BELGAUM CITY",Tilakwadi PS,Nath pai Nagar Nath pai Kere,Beat 56,9.0,114,320,699,0.00041400248401490407
"COP, BELGAUM CITY",Tilakwadi PS,SARVODAY MARG,Beat 31,5.0,114,320,699,0.0006900041400248402
"COP, BELGAUM CITY",Tilakwadi PS,BENDIGERI GALLI,Beat 60,1.0,114,320,699,9.200055200331202e-05
"COP, BELGAUM CITY",Tilakwadi PS,Gummat mal Water tank,Beat 33,5.0,114,320,699,0.0005060030360182161
"COP, BELGAUM CITY",Tilakwadi PS,LOHAR GALLI VISHVAKARMA COLONY,Beat 57,2.0,114,320,699,0.00032200193201159207
"COP, BELGAUM CITY",Tilakwadi PS,MRUTYUNJAY NAGAR,Beat 47,1.0,114,320,699,0.00013800082800496802
"COP, BELGAUM CITY",Udyambag PS,ROHIDAS NAGAR,BEAT NO 01,78.0,114,320,699,0.0028060168361010167
"COP, BELGAUM CITY",Udyambag PS,CHIDAMAR NAGAR,BEAT NO 03,59.0,114,320,699,0.0020240121440728643
"COP, BELGAUM CITY",Udyambag PS,RAJARAM NAGAR,BEAT NO 02,58.0,114,320,699,0.0039560237361424165
"COP, BELGAUM CITY",Udyambag PS,RANICHANNAMMA NAGAR,BEAT NO 05,47.0,114,320,699,0.0021160126960761763
"COP, BELGAUM CITY",Udyambag PS,NEAR USATV HOTEL R.C NAGAR,BEAT NO 04,32.0,114,320,699,0.0019320115920695524
"COP, BELGAUM CITY",Udyambag PS,OUT OF STATE,BEAT 00,1.0,114,320,699,0.00013800082800496802
"COP, BELGAUM CITY",Udyambag PS,RANI CHANNAMMA NAGAR SECOND STAGE GARDEN TO LAXMI TEMPLE OPPOSITE ROAD MIDDLE AREA GALAGALI HOUSE,BEAT NO 48,4.0,114,320,699,0.0004600027600165601
"COP, BELGAUM CITY",Udyambag PS,INDUSTRIAL SAMUDAY BHAVAN ROAD TO UTSAV CROSS DOUBLE ROAD C SCHEME,BEAT NO 41,20.0,114,320,699,0.0022080132480794884
"COP, BELGAUM CITY",Udyambag PS,SUBHASH CHANDRA NAGAR,BEAT NO 42,29.0,114,320,699,0.0011960071760430562
"COP, BELGAUM CITY",Udyambag PS,BEMCO CROSS TO INDUSTRIAL SAMUDAY BHAVAN ROAD AND JOPADAPATTI WALMIKI NAGAR,BEAT NO 40,36.0,114,320,699,0.0021620129720778323
"COP, BELGAUM CITY",Udyambag PS,RAJARAM NAGAR FIRST STAGE CROSS No ONE AND TWO,BEAT NO 36,13.0,114,320,699,0.0011500069000414002
"COP, BELGAUM CITY",Udyambag PS,DEVENDRA NAGAR UDYAMBAG,BEAT NO 35,11.0,114,320,699,0.0010120060720364321
